District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Saint-Sulpice,Conseiller de la ville,Hadrien Parizeau,Hadrien,Parizeau,M,Indépendant,hadrien.parizeau@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_parizeau_hadrien.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903726",,,,,,,legislature,"555, rue Chabanel Ouest
bureau 600
Montréal QC  H2N 2H8",1 514 872-2246,1 514 868-3324
Saint-Édouard,Conseiller de la ville,François Limoges,François,Limoges,M,Projet Montréal - Équipe Valérie Plante,francois.limoges@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_limoges_francois.JPG,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239415",,,,,,,legislature,"5650, rue D'Iberville
2e étage
Montréal QC  H2G 2B3",1 514 872-8234,1 514 868-3932
Sainte-Marie,Conseiller de la ville,Sophie Mauzerolle,Sophie,Mauzerolle,F,Projet Montréal - Équipe Valérie Plante,sophie.mauzerolle@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_mauzerolle_sophie.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903543",,,,,,,legislature,"800, boul. De Maisonneuve Est
17e étage
Montréal QC  H2L 4L8",1 514 868-5167,1 514 872-8347
Sault-Saint-Louis,Conseiller de la ville,Richard Deschamps,Richard,Deschamps,M,Équipe Barbe Team,richarddeschamps@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_deschamps_richard.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240761",,,,,,,legislature,"55, avenue Dupras
LaSalle QC  H8R 4A8",1 514 367-6000 x6209,1 514 367-6600
Sault-au-Récollet,Conseiller de la ville,Jérôme Normand,Jérôme,Normand,M,Projet Montréal - Équipe Valérie Plante,jerome.normand@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_normand_jerome.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903541",,,,,,,legislature,"555, rue Chabanel Ouest
bureau 600
Montréal QC  H2N 2H8",1 514 872-2246,1 514 868-3324
Snowdon,Conseiller de la ville,Marvin Rotrand,Marvin,Rotrand,M,Indépendant,mrotrand@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_rotrand_marvin.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239416",,,,,,,legislature,"5160, boulevard Décarie
bureau 710
Montréal QC  H3X 2H9",1 514 868-3520,1 514 868-3327
Sud-Ouest,Maire d'arrondissement,Benoit Dorais,Benoit,Dorais,M,Projet Montréal - Équipe Valérie Plante,benoit.dorais@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_dorais_benoit.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142349414",,,,,,,legislature,"815, rue Bel-Air
Montréal QC  H4C 2K4",1 514 872-6814,1 514 872-3705
Tétreaultville,Conseiller de la ville,Suzie Miron,Suzie,Miron,F,Projet Montréal - Équipe Valérie Plante,suzie.miron@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_miron_suzie.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903675",,,,,,,legislature,"6854, rue Sherbrooke Est
Montréal QC  H1N 1E2",,1 514 868-7125
Verdun,Maire d'arrondissement,Jean-François Parenteau,Jean-François,Parenteau,M,Indépendant,jean-francois.parenteau@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_parenteau_jean_francois.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239468",,,,,,,legislature,"4555, rue de Verdun
Bureau 202
Verdun QC  H4G 1M4",1 514 765-7008,1 514 765-7013
Vieux-Rosemont,Conseiller de la ville,Christine Gosselin,Christine,Gosselin,F,Projet Montréal - Équipe Valérie Plante,christine.gosselin@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gosselin_christine.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240787",,,,,,,legislature,"5650, rue D'Iberville
2e étage
Montréal QC  H2G 2B3",1 514 868-3907,1 514 868-3932
Villeray,Conseiller de la ville,Rosannie Filato,Rosannie,Filato,F,Projet Montréal - Équipe Valérie Plante,rosannie.filato@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_filato_rosannie.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903720",,,,,,,legislature,"405, avenue Ogilvy
bureau 103
Montréal QC  H3N 1M3",,1 514 872-2402
Villeray—Saint-Michel—Parc-Extension,Maire d'arrondissement,Giuliana Fumagalli,Giuliana,Fumagalli,F,Indépendant,giuliana.fumagalli@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_fumagalli_giuliana.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903517",,,,,,,legislature,"405, avenue Ogilvy
bureau 103
Montréal QC  H3N 1M3",1 514 209-1278,1 514 872-2402
Étienne-Desmarteau,Conseiller de la ville,Stephanie Watt,Stephanie,Watt,F,Projet Montréal - Équipe Valérie Plante,stephanie.watt@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_watt_stephanie.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903513",,,,,,,legislature,"5650, rue D'Iberville
2e étage
Montréal QC  H2G 2B3",1 514 872-8390,1 514 868-3932
